0,1,发病性别倾向,中心词,关系
1,2,,关系,发病性别倾向
0,3,药物治疗,中心词,关系
3,4,,关系,药物治疗
3,5,,关系,药物治疗
0,6,所属科室,中心词,关系
6,7,,关系,所属科室
6,8,,关系,所属科室
0,9,发病部位,中心词,关系
9,10,,关系,发病部位
0,11,影像学检查,中心词,关系
11,12,,关系,影像学检查
11,13,,关系,影像学检查
11,14,,关系,影像学检查
0,15,辅助治疗,中心词,关系
15,16,,关系,辅助治疗
0,17,UMLS,中心词,关系
17,18,,关系,UMLS
17,19,,关系,UMLS
0,20,ICD-10,中心词,关系
20,21,,关系,ICD-10
20,22,,关系,ICD-10
0,23,手术治疗,中心词,关系
23,24,,关系,手术治疗
23,25,,关系,手术治疗
0,26,英文名称,中心词,关系
26,27,,关系,英文名称
0,28,病因,中心词,关系
28,29,,关系,病因
0,30,遗传因素,中心词,关系
30,31,,关系,遗传因素
0,32,筛查,中心词,关系
32,33,,关系,筛查
0,34,内窥镜检查,中心词,关系
34,35,,关系,内窥镜检查
34,36,,关系,内窥镜检查
0,37,多发地区,中心词,关系
37,38,,关系,多发地区
0,39,治疗方案,中心词,关系
39,40,,关系,治疗方案
39,41,,关系,治疗方案
0,42,并发症,中心词,关系
42,43,,关系,并发症
42,44,,关系,并发症
42,45,,关系,并发症
42,46,,关系,并发症
42,47,,关系,并发症
0,48,组织学检查,中心词,关系
48,49,,关系,组织学检查
0,50,发病率,中心词,关系
50,51,,关系,发病率
0,52,辅助检查,中心词,关系
52,53,,关系,辅助检查
52,54,,关系,辅助检查
52,55,,关系,辅助检查
0,56,实验室检查,中心词,关系
56,57,,关系,实验室检查
56,58,,关系,实验室检查
56,59,,关系,实验室检查
56,60,,关系,实验室检查
56,61,,关系,实验室检查
0,62,放化疗治疗,中心词,关系
62,63,,关系,放化疗治疗
62,64,,关系,放化疗治疗
0,65,临床症状及体征,中心词,关系
65,66,,关系,临床症状及体征
65,67,,关系,临床症状及体征
65,68,,关系,临床症状及体征
65,69,,关系,临床症状及体征
65,70,,关系,临床症状及体征
65,71,,关系,临床症状及体征
65,72,,关系,临床症状及体征
65,73,,关系,临床症状及体征
65,74,,关系,临床症状及体征
65,75,,关系,临床症状及体征
65,76,,关系,临床症状及体征
65,77,,关系,临床症状及体征
65,78,,关系,临床症状及体征
65,79,,关系,临床症状及体征
65,80,,关系,临床症状及体征
65,81,,关系,临床症状及体征
65,82,,关系,临床症状及体征
65,83,,关系,临床症状及体征
